name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_0,21.929768,19.401094,84.135872,241.837494,5737.837891,158.9090752,-48.8092127,10.0,True,49.163125,120.158125,"7.49, 22.48, 37.46, 52.44, 67.43","8.1, 115.27, 116.08, 121.3, 112.83","7.49, 22.48, 37.46, 52.44, 67.43","2.1, 4.6, 4.0, 0.16, 0.29"
WALLABY_J103538-484832_BS_1,21.943108,19.313881,76.350891,243.365326,5740.513672,158.9090339,-48.8093572,10.0,True,49.480987654320984,176.39999999999998,"7.49, 22.48, 37.46, 52.44, 67.43","81.32, 114.26, 125.05, 189.04, 202.84","7.49, 22.48, 37.46, 52.44, 67.43","5.1, 5.5, 3.6, 0.36, 0.066"
WALLABY_J103538-484832_BS_2,21.895992,19.456345,78.036362,248.716339,5737.245117,158.9091655,-48.8091226,10.0,True,47.0472,90.66400000000002,"7.49, 22.48, 37.46, 52.44, 67.43","7.26, 112.25, 127.4, 70.0, 128.69","7.49, 22.48, 37.46, 52.44, 67.43","0.42, 6.7, 2.6, 0.1, 0.75"
WALLABY_J103538-484832_BS_3,21.971306,19.248121,85.162376,241.414734,5739.48584,158.9089568,-48.8094651,10.0,True,49.74828125,136.453984375,"7.49, 22.48, 37.46, 52.44, 67.43","2.59, 109.76, 122.32, 139.55, 106.23","7.49, 22.48, 37.46, 52.44, 67.43","0.26, 6.2, 3.1, 0.54, 0.084"
WALLABY_J103538-484832_BS_4,21.995708,19.415071,77.163246,247.924713,5737.429688,158.9089096,-48.8091856,10.0,True,59.53585798816568,106.72349112426036,"7.49, 22.48, 37.46, 52.44, 67.43","8.79, 118.1, 126.39, 129.63, 81.24","7.49, 22.48, 37.46, 52.44, 67.43","2.0, 3.7, 2.6, 1.8, 0.11"
WALLABY_J103538-484832_BS_5,21.722691,19.239149,79.264328,243.024963,5737.317871,158.9095851,-48.8094944,10.0,True,49.163125,164.69937500000003,"7.49, 22.48, 37.46, 52.44, 67.43","29.86, 104.86, 124.59, 175.93, 153.5","7.49, 22.48, 37.46, 52.44, 67.43","3.4, 4.1, 4.3, 0.076, 0.083"
WALLABY_J103538-484832_BS_6,21.763145,19.453691,70.268478,241.384521,5736.594727,158.9095014,-48.8091347,10.0,True,49.29604938271605,140.0804938271605,"7.49, 22.48, 37.46, 52.44, 67.43","31.07, 102.93, 129.24, 142.96, 143.17","7.49, 22.48, 37.46, 52.44, 67.43","2.8, 6.5, 4.2, 0.15, 0.0065"
WALLABY_J103538-484832_BS_7,21.968204,19.284836,79.547882,239.04425,5738.094727,158.9089678,-48.8094042,10.0,True,47.229565217391304,97.34347826086956,"7.49, 22.48, 37.46, 52.44, 67.43","19.47, 114.3, 120.9, 84.78, 89.03","7.49, 22.48, 37.46, 52.44, 67.43","2.2, 6.8, 2.5, 0.2, 0.11"
WALLABY_J103538-484832_BS_8,21.946312,19.470209,78.031166,247.2966,5735.333496,158.9090394,-48.8090966,10.0,True,56.9415015015015,117.22666666666667,"7.49, 22.48, 37.46, 52.44, 67.43","20.59, 110.68, 126.2, 121.56, 107.13","7.49, 22.48, 37.46, 52.44, 67.43","1.3, 3.7, 3.1, 1.4, 0.068"
WALLABY_J103538-484832_BS_9,21.677013,19.375425,81.155884,241.778595,5736.474609,158.9097125,-48.80927,10.0,True,49.97592689295039,119.04746736292428,"7.49, 22.48, 37.46, 52.44, 67.43","0.97, 104.01, 123.86, 118.1, 128.36","7.49, 22.48, 37.46, 52.44, 67.43","2.3, 3.8, 4.2, 0.37, 0.32"
