name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_0,21.95,19.28,71.5,246.076,5741.62,159.81,-48.84,10.0,True,47.502458100558655,143.28279329608938,"7.49, 22.48, 37.46, 52.44, 67.43","54.09, 112.25, 131.98, 148.84, 102.22","7.49, 22.48, 37.46, 52.44, 67.43","6.0, 6.2, 2.2, 0.41, 0.22"
WALLABY_J103538-484832_BS_1,21.97,19.24,74.25,244.596,5739.58,159.81,-48.84,10.0,True,50.642399999999995,91.32440000000003,"7.49, 22.48, 37.46, 52.44, 67.43","74.77, 111.1, 129.71, 86.09, 201.36","7.49, 22.48, 37.46, 52.44, 67.43","7.0, 3.4, 4.3, 0.55, 0.086"
WALLABY_J103538-484832_BS_2,22.01,19.26,73.5,246.97,5740.5,159.81,-48.84,10.0,True,55.06982456140351,140.9556140350877,"7.49, 22.48, 37.46, 52.44, 67.43","79.29, 119.07, 124.0, 125.81, 212.14","7.49, 22.48, 37.46, 52.44, 67.43","5.5, 4.7, 2.5, 1.2, 0.06"
WALLABY_J103538-484832_BS_3,22.15,19.21,77.49,243.268,5741.28,159.81,-48.84,10.0,True,48.16,121.93,"7.49, 22.48, 37.46, 52.44, 67.43","42.76, 116.81, 121.73, 122.01, 94.24","7.49, 22.48, 37.46, 52.44, 67.43","3.9, 5.1, 2.8, 0.28, 0.11"
WALLABY_J103538-484832_BS_4,22.28,19.42,83.01,253.448,5740.75,159.81,-48.84,10.0,True,47.30844290657439,139.71193771626298,"7.49, 22.48, 37.46, 52.44, 67.43","36.39, 113.81, 122.75, 148.55, 152.93","7.49, 22.48, 37.46, 52.44, 67.43","4.4, 5.5, 2.9, 0.01, 0.18"
WALLABY_J103538-484832_BS_5,22.14,19.27,77.38,249.717,5741.53,159.81,-48.84,10.0,True,54.644411764705886,135.4664705882353,"7.49, 22.48, 37.46, 52.44, 67.43","23.98, 121.52, 114.35, 129.04, 172.74","7.49, 22.48, 37.46, 52.44, 67.43","4.3, 2.7, 3.0, 1.1, 0.42"
WALLABY_J103538-484832_BS_6,22.1,19.27,75.89,247.901,5740.97,159.81,-48.84,10.0,True,51.788695652173914,103.00391304347825,"7.49, 22.48, 37.46, 52.44, 67.43","32.48, 120.88, 123.55, 102.07, 124.27","7.49, 22.48, 37.46, 52.44, 67.43","4.2, 3.8, 4.3, 0.85, 0.028"
WALLABY_J103538-484832_BS_7,21.95,19.33,73.75,247.12,5739.44,159.81,-48.84,10.0,True,49.443999999999996,129.25,"7.49, 22.48, 37.46, 52.44, 67.43","34.9, 127.33, 117.37, 132.22, 96.78","7.49, 22.48, 37.46, 52.44, 67.43","4.3, 5.2, 3.2, 0.45, 0.011"
WALLABY_J103538-484832_BS_8,21.9,19.32,76.08,247.523,5739.33,159.81,-48.84,10.0,True,53.85548630783758,132.28496694995277,"7.49, 22.48, 37.46, 52.44, 67.43","42.1, 116.48, 121.95, 127.42, 178.94","7.49, 22.48, 37.46, 52.44, 67.43","5.4, 3.1, 2.8, 1.1, 0.041"
WALLABY_J103538-484832_BS_9,21.9,19.36,77.93,246.711,5739.64,159.81,-48.84,10.0,True,48.536760563380284,124.72401408450705,"7.49, 22.48, 37.46, 52.44, 67.43","62.77, 114.07, 124.48, 124.81, 118.21","7.49, 22.48, 37.46, 52.44, 67.43","4.6, 5.4, 3.1, 0.26, 0.14"
