name,X_model,Y_model,Inc_model,PA_model,Vsys_model,RA_model,DEC_model,Vdisp_model,RHI_flag,RHI_AS,VHI,Rad,Vrot_model,Rad_SD,SD_model
WALLABY_J103538-484832_BS_0,21.986183166503906,19.31529426574707,78.53153991699219,248.35589599609375,5741.4052734375,158.90892171156733,-48.809352389875166,10.0,True,50.21325149052871,98.1330424293552,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","91.61831665039062, 112.66105651855469, 123.73431396484375, 93.6546401977539, 178.381103515625","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","6.230063653408768, 4.08015253329118, 3.7330091001268024, 0.5219177283429822, 0.092455002209768"
WALLABY_J103538-484832_BS_1,22.14605712890625,19.30263900756836,76.76795196533203,247.59564208984375,5741.3955078125,158.9085160624447,-48.809364281611884,10.0,True,51.15846866312981,130.85905647748362,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","52.249351501464844, 113.06327819824219, 118.35842895507812, 132.03231811523438, 138.82208251953125","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.442813715657028, 4.300227247271096, 3.2211041700793586, 0.7915355599923628, 0.03758827541582666"
WALLABY_J103538-484832_BS_2,21.86492347717285,19.29889678955078,72.18325805664062,249.89501953125,5738.7421875,158.90922711588632,-48.809386670502604,10.0,True,58.10018603298747,141.3080302536516,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","52.672691345214844, 114.91510009765625, 123.03105926513672, 139.67843627929688, 143.99557495117188","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.195370188337454, 4.716006206345209, 2.2956104262879347, 1.5900320796645073, 0.02691246284393007"
WALLABY_J103538-484832_BS_3,21.779010772705078,19.40085220336914,78.60708618164062,247.867431640625,5737.32568359375,158.9094534051526,-48.80922178196337,10.0,True,58.04341699834905,131.6204988205543,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","66.34819030761719, 106.36933898925781, 128.6100616455078, 124.69290924072266, 143.23162841796875","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.820332413181816, 4.0045834343933, 2.3836070265162204, 1.5893637390551674, 0.01218473246323447"
WALLABY_J103538-484832_BS_4,22.263187408447266,19.523738861083984,68.71674346923828,254.52877807617188,5741.6025390625,158.90823897670134,-48.80898926877143,10.0,True,49.1655159690922,135.0046622800964,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","54.639404296875, 114.77484893798828, 131.19984436035156, 136.07037353515625, 151.45001220703125","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.227811567914918, 4.7817495396180725, 4.488926292645177, 0.022768474977230585, 0.04175056290858528"
WALLABY_J103538-484832_BS_5,21.990806579589844,19.325658798217773,72.8811264038086,245.82388305664062,5739.86181640625,158.90891091701513,-48.80933486024051,10.0,True,50.29830082070713,138.56580359889668,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","54.174949645996094, 115.61318969726562, 124.10150146484375, 140.9834442138672, 162.28082275390625","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.498480853076552, 4.989170548728015, 3.609513817533648, 0.5638319407236867, 0.09699313665977727"
WALLABY_J103538-484832_BS_6,22.031648635864258,19.249330520629883,72.63228607177734,250.2274169921875,5739.25,158.90880090895666,-48.80945965136761,10.0,True,50.36165897594066,127.02102463136367,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","49.44365692138672, 116.14204406738281, 125.47323608398438, 127.27085876464844, 135.50936889648438","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.971169884036732, 5.683469528401147, 2.67497298549381, 0.7296365677244624, 0.08613038811015568"
WALLABY_J103538-484832_BS_7,22.107284545898438,19.334148406982422,78.36788177490234,248.61367797851562,5740.61376953125,158.90861692263744,-48.809314025532,10.0,True,48.25851512862223,139.2350040143319,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","35.49528503417969, 118.131591796875, 118.54403686523438, 147.25514221191406, 112.8604736328125","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.1427724954366925, 4.4062384972570365, 3.330679903315111, 0.09659249931534139, 0.028318810193833817"
WALLABY_J103538-484832_BS_8,22.198129653930664,19.333263397216797,72.53316497802734,247.31048583984375,5741.24658203125,158.90838697140907,-48.80931027844953,10.0,True,49.43101924138838,126.76476789188128,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","46.08597946166992, 112.92229461669922, 126.36434936523438, 126.86555480957031, 118.36210632324219","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","5.117762125967564, 4.322248780681908, 3.432163922506817, 0.38781477691193383, 0.05243377967994077"
WALLABY_J103538-484832_BS_9,22.066062927246094,19.33812713623047,76.18417358398438,246.16372680664062,5740.1728515625,158.90872157686186,-48.80930976727535,10.0,True,48.820446602863285,132.87506738589505,"7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","44.456974029541016, 114.1493148803711, 127.01664733886719, 134.7437744140625, 118.75856018066406","7.492021560668945, 22.476064682006836, 37.460105895996094, 52.44414520263672, 67.42819213867188","4.2291535158050655, 4.905586892523099, 3.0009683627104096, 0.3617351414679344, 0.28132291023780504"
